Date,Open,High,Low,Close,Volume
04/11/2023,"9.1100","9.3100","9.0500","9.2400","2,487,086"
04/10/2023,"8.5300","9.1000","8.5300","9.0600","3,065,950"
04/06/2023,"8.6000","8.8150","8.4800","8.5900","5,910,181"
04/05/2023,"8.7000","8.7100","8.3100","8.5300","3,898,114"
04/04/2023,"8.9100","8.9100","8.5609","8.8100","1,764,367"
04/03/2023,"9.0500","9.1200","8.6200","8.8100","3,383,389"
03/31/2023,"8.9600","9.0900","8.8800","9.0000","2,256,722"
03/30/2023,"9.0400","9.1201","8.8350","8.8500","2,527,194"
03/29/2023,"8.8300","9.0500","8.7000","8.9500","5,508,753"
03/28/2023,"7.9500","8.4750","7.9450","8.4700","4,466,267"
03/27/2023,"7.8100","8.1250","7.7400","8.0200","4,642,728"
03/24/2023,"8.0000","8.1000","7.5900","7.7400","9,816,284"
03/23/2023,"8.4400","8.5850","8.0600","8.1000","6,686,812"
03/22/2023,"9.4800","9.6500","8.3700","8.3900","16,262,100"
03/21/2023,"9.9300","10.3950","9.9300","10.1700","2,965,347"
03/20/2023,"9.8100","10.0200","9.7100","9.8200","2,832,386"
03/17/2023,"9.9500","10.0800","9.8000","9.8100","3,104,780"
03/16/2023,"9.7700","10.5500","9.6600","10.2000","2,925,055"
03/15/2023,"9.1100","9.9050","9.0500","9.8000","2,715,748"
03/14/2023,"9.7800","9.9000","9.1600","9.4000","3,732,601"
03/13/2023,"9.6100","10.0650","9.3100","9.5900","4,093,698"
03/10/2023,"9.9700","10.1300","9.6100","10.0500","4,229,278"
03/09/2023,"10.4700","10.5150","9.9400","9.9700","2,173,807"
03/08/2023,"10.2900","10.5400","10.2200","10.5000","1,562,987"
03/07/2023,"10.1600","10.3550","10.0200","10.3300","1,558,687"
03/06/2023,"10.4300","10.4300","10.0400","10.0600","2,576,828"
03/03/2023,"10.3400","10.5250","10.2300","10.3200","1,616,738"
03/02/2023,"10.1400","10.3100","10.0900","10.2000","958,023"
03/01/2023,"10.1900","10.3400","10.1150","10.3000","1,166,530"
02/28/2023,"10.4900","10.6400","10.2800","10.3000","1,138,225"
02/27/2023,"10.8400","10.8600","10.3700","10.4600","1,319,453"
02/24/2023,"10.6300","10.7700","10.4400","10.6800","843,129"
02/23/2023,"10.7700","10.9600","10.5300","10.9300","1,444,100"
02/22/2023,"10.7000","10.8900","10.4400","10.6800","1,341,568"
02/21/2023,"10.6500","10.7100","10.4800","10.6700","1,794,361"
02/17/2023,"10.8400","10.8650","10.6493","10.8300","988,918"
02/16/2023,"11.0200","11.2100","10.8900","10.9100","1,364,924"
02/15/2023,"10.9100","11.3550","10.8750","11.2800","1,220,790"
02/14/2023,"11.0900","11.2400","10.8450","10.9300","1,688,729"
02/13/2023,"11.1000","11.3200","10.9700","11.2000","1,279,901"
02/10/2023,"11.0300","11.1600","10.9300","11.1000","839,877"
02/09/2023,"11.4500","11.5207","11.1150","11.1400","1,143,689"
02/08/2023,"11.4500","11.4800","11.1700","11.3200","1,046,926"
02/07/2023,"11.2300","11.6200","10.9650","11.5800","2,139,882"
02/06/2023,"11.6800","11.7100","11.1400","11.3600","2,515,852"
02/03/2023,"11.9200","12.3000","11.7600","11.8900","1,387,462"
02/02/2023,"12.4800","12.5750","12.1050","12.2700","3,292,713"
02/01/2023,"11.6000","12.1600","11.5300","12.0900","1,411,387"
01/31/2023,"11.4000","11.7000","11.3550","11.6900","1,487,306"
01/30/2023,"11.5500","11.7400","11.3300","11.3700","1,622,856"
01/27/2023,"11.2000","11.9150","11.0600","11.7400","1,648,501"
01/26/2023,"11.1300","11.3300","10.9450","11.1000","959,618"
01/25/2023,"10.8000","11.1400","10.6600","10.9700","1,686,454"
01/24/2023,"11.1000","11.2001","10.8750","10.9200","1,533,151"
01/23/2023,"10.9000","11.2900","10.8750","11.1300","1,939,882"
01/20/2023,"10.6600","10.9350","10.4550","10.8800","1,833,296"
01/19/2023,"10.2400","10.6150","10.1100","10.5800","1,872,577"
01/18/2023,"10.8000","11.2050","10.3800","10.4000","2,005,931"
01/17/2023,"10.3000","10.7900","10.1900","10.7700","1,768,375"
01/13/2023,"10.4100","10.5600","10.3250","10.3600","902,011"
01/12/2023,"10.8400","10.9600","10.4950","10.5700","1,711,822"
01/11/2023,"10.4900","10.7700","10.4200","10.6900","1,632,508"
01/10/2023,"10.0600","10.3400","10.0200","10.3400","1,278,186"
