Date,Open,High,Low,Close,Volume
05/03/2023,"306.62","308.61","304.09","304.40","22,360,750"
05/02/2023,"307.76","309.18","303.91","305.41","26,404,430"
05/01/2023,"306.97","308.60","305.15","305.56","21,294,119"
04/28/2023,"304.01","308.93","303.31","307.26","36,469,609"
04/27/2023,"295.97","305.20","295.25","304.83","46,462,641"
04/26/2023,"296.70","299.57","292.73","295.37","64,599,180"
04/25/2023,"279.51","281.60","275.37","275.42","45,772,238"
04/24/2023,"282.09","284.95","278.72","281.77","26,611,010"
04/21/2023,"285.01","286.27","283.06","285.76","21,676,391"
04/20/2023,"285.25","289.03","285.08","286.11","23,244,359"
04/19/2023,"285.99","289.05","284.54","288.45","17,150,270"
04/18/2023,"291.57","291.76","287.01","288.37","20,161,850"
04/17/2023,"289.93","291.60","286.16","288.80","23,836,221"
04/14/2023,"287.00","288.48","283.69","286.14","20,987,920"
04/13/2023,"283.59","289.90","283.17","289.84","24,222,680"
04/12/2023,"284.79","287.01","281.96","283.49","27,403,430"
04/11/2023,"285.75","285.98","281.64","282.83","27,276,590"
04/10/2023,"289.21","289.60","284.71","289.39","23,102,990"
04/06/2023,"283.21","292.08","282.03","291.60","29,770,330"
04/05/2023,"285.85","287.15","282.92","284.34","22,064,770"
04/04/2023,"287.23","290.45","285.67","287.18","25,824,301"
04/03/2023,"286.52","288.27","283.95","287.23","24,883,340"
03/31/2023,"283.73","289.27","283.00","288.30","32,765,980"
03/30/2023,"284.23","284.46","281.48","284.05","25,053,410"
03/29/2023,"278.96","281.14","278.41","280.51","25,087,029"
03/28/2023,"275.79","276.14","272.05","275.23","21,878,650"
03/27/2023,"280.50","281.46","275.52","276.38","26,840,211"
03/24/2023,"277.24","280.63","275.28","280.57","28,199,961"
03/23/2023,"277.94","281.06","275.20","277.66","36,610,879"
03/22/2023,"273.40","281.04","272.18","272.29","34,873,328"
03/21/2023,"274.88","275.00","269.52","273.78","34,558,699"
03/20/2023,"276.98","277.48","269.85","272.23","43,466,648"
03/17/2023,"278.26","283.33","276.32","279.43","69,527,367"
03/16/2023,"265.21","276.56","263.28","276.20","54,832,141"
03/15/2023,"259.98","266.48","259.21","265.44","46,028,047"
03/14/2023,"256.75","261.07","255.86","260.79","33,620,289"
03/13/2023,"247.40","257.91","245.73","253.92","33,339,719"
03/10/2023,"251.08","252.79","247.60","248.59","28,333,930"
03/09/2023,"255.82","259.56","251.58","252.32","26,653,391"
03/08/2023,"254.04","254.54","250.81","253.70","17,340,221"
03/07/2023,"256.30","257.69","253.39","254.15","21,473,180"
03/06/2023,"256.43","260.12","255.98","256.87","24,109,850"
03/03/2023,"252.19","255.62","251.39","255.29","30,760,141"
03/02/2023,"246.55","251.40","245.61","251.11","24,833,650"
03/01/2023,"250.76","250.93","245.79","246.27","27,565,260"
02/28/2023,"249.07","251.49","248.73","249.42","22,490,949"
02/27/2023,"252.46","252.82","249.39","250.16","21,190,039"
02/24/2023,"249.96","251.00","248.10","249.22","24,990,910"
02/23/2023,"255.56","256.84","250.48","254.77","29,219,100"
02/22/2023,"254.09","254.34","250.34","251.51","22,491,061"
02/21/2023,"254.48","255.49","251.59","252.67","28,397,439"
02/17/2023,"259.39","260.09","256.00","258.06","30,000,061"
02/16/2023,"264.02","266.74","261.90","262.15","29,603,619"
02/15/2023,"268.32","270.73","266.18","269.32","28,962,160"
02/14/2023,"272.67","274.97","269.28","272.17","37,047,922"
02/13/2023,"267.64","274.60","267.15","271.32","44,630,922"
02/10/2023,"261.53","264.09","260.66","263.10","25,818,490"
02/09/2023,"273.80","273.98","262.80","263.62","42,375,102"
02/08/2023,"273.20","276.76","266.21","266.73","54,686,047"
02/07/2023,"260.53","268.78","260.08","267.56","50,841,367"
02/06/2023,"257.44","258.30","254.78","256.77","22,518,000"
02/03/2023,"259.54","264.20","257.10","258.35","29,077,260"
02/02/2023,"258.82","264.69","257.25","264.60","39,940,441"
02/01/2023,"248.00","255.18","245.47","252.75","31,259,910"
01/31/2023,"243.45","247.95","242.95","247.81","26,541,070"
01/30/2023,"244.51","245.60","242.20","242.71","25,867,369"
01/27/2023,"248.99","249.83","246.83","248.16","26,498,939"
01/26/2023,"243.65","248.31","242.00","248.00","33,454,488"
01/25/2023,"234.48","243.30","230.90","240.61","66,526,641"
01/24/2023,"242.50","243.95","240.44","242.04","40,234,441"
01/23/2023,"241.10","245.17","239.65","242.58","31,933,949"
01/20/2023,"234.86","240.74","234.51","240.22","35,389,809"
01/19/2023,"233.78","235.52","230.68","231.93","28,623,029"
01/18/2023,"241.57","242.38","235.52","235.81","30,028,689"
01/17/2023,"237.97","240.91","237.09","240.35","29,831,260"
01/13/2023,"237.00","239.37","234.92","239.23","21,333,270"
01/12/2023,"235.26","239.90","233.56","238.51","27,269,490"
01/11/2023,"231.29","235.95","231.11","235.77","28,669,330"
01/10/2023,"227.76","231.31","227.33","228.85","27,033,881"
